district,division,population,population_share,chronic_bags_month_low,chronic_bags_day_low,chronic_bags_month_central,chronic_bags_day_central,chronic_bags_month_high,chronic_bags_day_high
Dhaka,Dhaka,14734701,0.089342,1508.45,49.5589,4085.38,134.2221,7039.43,231.275
Chattogram,Chattogram,9169464,0.055598,938.71,30.8407,2542.35,83.5269,4380.67,143.9234
Cumilla,Chattogram,6212216,0.037667,635.97,20.8943,1722.42,56.5886,2967.86,97.5066
Mymensingh,Mymensingh,5899052,0.035768,603.91,19.841,1635.59,53.7359,2818.24,92.5912
Gazipur,Dhaka,5263474,0.031914,538.84,17.7033,1459.37,47.9463,2514.6,82.6152
Tangail,Dhaka,4037608,0.024482,413.35,13.5802,1119.48,36.7796,1928.95,63.3741
Narayanganj,Dhaka,3909138,0.023703,400.19,13.1481,1083.86,35.6093,1867.57,61.3576
Sylhet,Sylhet,3857037,0.023387,394.86,12.9728,1069.41,35.1347,1842.68,60.5398
Bogura,Rajshahi,3734300,0.022642,382.3,12.56,1035.38,34.0167,1784.04,58.6133
Noakhali,Chattogram,3625252,0.021981,371.13,12.1932,1005.15,33.0233,1731.95,56.9017
Sirajganj,Rajshahi,3357708,0.020359,343.74,11.2934,930.97,30.5862,1604.13,52.7024
Dinajpur,Rangpur,3315238,0.020102,339.39,11.1505,919.19,30.1993,1583.84,52.0358
Brahmanbaria,Chattogram,3306559,0.020049,338.51,11.1213,916.79,30.1203,1579.69,51.8996
Kishoreganj,Dhaka,3267630,0.019813,334.52,10.9904,905.99,29.7657,1561.09,51.2885
Rangpur,Rangpur,3169615,0.019219,324.49,10.6607,878.82,28.8728,1514.27,49.7501
Jashore,Khulna,3076849,0.018656,314.99,10.3487,853.1,28.0278,1469.95,48.294
Rajshahi,Rajshahi,2915013,0.017675,298.42,9.8044,808.22,26.5536,1392.63,45.7539
Pabna,Rajshahi,2909622,0.017642,297.87,9.7863,806.73,26.5045,1390.06,45.6693
Cox's Bazar,Chattogram,2823265,0.017119,289.03,9.4958,782.79,25.7178,1348.8,44.3138
Naogaon,Rajshahi,2784598,0.016884,285.07,9.3658,772.07,25.3656,1330.33,43.7069
Sunamganj,Sylhet,2695495,0.016344,275.95,9.0661,747.36,24.5539,1287.76,42.3083
Chandpur,Chattogram,2635748,0.015982,269.83,8.8651,730.79,24.0097,1259.22,41.3705
Khulna,Khulna,2613385,0.015846,267.54,8.7899,724.59,23.806,1248.53,41.0195
Narsingdi,Dhaka,2584452,0.01567,264.58,8.6926,716.57,23.5424,1234.71,40.5654
Barishal,Barishal,2570450,0.015586,263.15,8.6455,712.69,23.4149,1228.02,40.3456
Gaibandha,Rangpur,2562232,0.015536,262.31,8.6179,710.41,23.34,1224.09,40.2166
Jamalpur,Mymensingh,2499737,0.015157,255.91,8.4077,693.08,22.7707,1194.24,39.2357
Habiganj,Sylhet,2358886,0.014303,241.49,7.9339,654.03,21.4877,1126.95,37.0249
Kurigram,Rangpur,2329161,0.014123,238.45,7.8339,645.79,21.2169,1112.75,36.5584
Netrokona,Mymensingh,2324856,0.014096,238.0,7.8195,644.6,21.1777,1110.69,36.4908
Satkhira,Khulna,2196581,0.013319,224.87,7.388,609.03,20.0092,1049.41,34.4774
Faridpur,Dhaka,2162876,0.013114,221.42,7.2747,599.69,19.7022,1033.3,33.9484
Kushtia,Khulna,2149692,0.013034,220.07,7.2303,596.03,19.5821,1027.0,33.7414
Moulvibazar,Sylhet,2123445,0.012875,217.39,7.142,588.75,19.343,1014.47,33.3295
Nilphamari,Rangpur,2092568,0.012688,214.22,7.0382,580.19,19.0617,999.71,32.8448
Lakshmipur,Chattogram,1938111,0.011751,198.41,6.5187,537.37,17.6547,925.92,30.4205
Bhola,Barishal,1932514,0.011718,197.84,6.4998,535.81,17.6038,923.25,30.3326
Natore,Rajshahi,1859921,0.011277,190.41,6.2557,515.69,16.9425,888.57,29.1932
Chapai Nawabganj,Rajshahi,1835527,0.011129,187.91,6.1736,508.92,16.7203,876.91,28.8103
Jhenaidah,Khulna,1771304,0.01074,181.34,5.9576,491.12,16.1353,846.23,27.8023
Patuakhali,Barishal,1727254,0.010473,176.83,5.8095,478.9,15.734,825.19,27.1109
Feni,Chattogram,1648896,0.009998,168.8,5.5459,457.18,15.0202,787.75,25.881
Munshiganj,Dhaka,1625418,0.009856,166.4,5.467,450.67,14.8063,776.54,25.5125
Bagerhat,Khulna,1613079,0.009781,165.14,5.4255,447.25,14.6939,770.64,25.3188
Manikganj,Dhaka,1558024,0.009447,159.5,5.2403,431.98,14.1924,744.34,24.4547
Thakurgaon,Rangpur,1533894,0.009301,157.03,5.1591,425.29,13.9726,732.81,24.0759
Sherpur,Mymensingh,1501853,0.009106,153.75,5.0514,416.41,13.6808,717.5,23.573
Lalmonirhat,Rangpur,1428406,0.008661,146.23,4.8043,396.04,13.0117,682.41,22.4202
Gopalganj,Dhaka,1295053,0.007852,132.58,4.3558,359.07,11.797,618.71,20.3271
Shariatpur,Dhaka,1294561,0.007849,132.53,4.3541,358.93,11.7925,618.47,20.3194
Madaripur,Dhaka,1293027,0.00784,132.37,4.349,358.51,11.7785,617.74,20.2953
Chuadanga,Khulna,1234066,0.007483,126.34,4.1507,342.16,11.2414,589.57,19.3698
Pirojpur,Barishal,1198193,0.007265,122.66,4.03,332.21,10.9146,572.43,18.8068
Rajbari,Dhaka,1189821,0.007214,121.81,4.0019,329.89,10.8384,568.43,18.6754
