date,district,division,admissions_est,division_admissions_observed,share_within_division,source,disaggregation_method
2019-08-27,Barguna,Barishal,11.3267,102,0.111046,kaggle_shampabanik12,population_share_within_division
2019-08-27,Barishal,Barishal,28.8113,102,0.282464,kaggle_shampabanik12,population_share_within_division
2019-08-27,Bhola,Barishal,21.6609,102,0.212362,kaggle_shampabanik12,population_share_within_division
2019-08-27,Jhalokati,Barishal,7.4107,102,0.072654,kaggle_shampabanik12,population_share_within_division
2019-08-27,Patuakhali,Barishal,19.3602,102,0.189806,kaggle_shampabanik12,population_share_within_division
2019-08-27,Pirojpur,Barishal,13.4301,102,0.131668,kaggle_shampabanik12,population_share_within_division
2019-08-27,Bandarban,Chattogram,1.5649,108,0.01449,kaggle_shampabanik12,population_share_within_division
2019-08-27,Brahmanbaria,Chattogram,10.7555,108,0.099588,kaggle_shampabanik12,population_share_within_division
2019-08-27,Chandpur,Chattogram,8.5735,108,0.079384,kaggle_shampabanik12,population_share_within_division
2019-08-27,Chattogram,Chattogram,29.8263,108,0.276169,kaggle_shampabanik12,population_share_within_division
2019-08-27,Cox's Bazar,Chattogram,9.1835,108,0.085032,kaggle_shampabanik12,population_share_within_division
2019-08-27,Cumilla,Chattogram,20.207,108,0.187102,kaggle_shampabanik12,population_share_within_division
2019-08-27,Feni,Chattogram,5.3635,108,0.049662,kaggle_shampabanik12,population_share_within_division
2019-08-27,Khagrachhari,Chattogram,2.3229,108,0.021508,kaggle_shampabanik12,population_share_within_division
2019-08-27,Lakshmipur,Chattogram,6.3043,108,0.058373,kaggle_shampabanik12,population_share_within_division
2019-08-27,Noakhali,Chattogram,11.7922,108,0.109187,kaggle_shampabanik12,population_share_within_division
2019-08-27,Rangamati,Chattogram,2.1065,108,0.019504,kaggle_shampabanik12,population_share_within_division
2019-08-27,Dhaka,Dhaka,286.5909,860,0.333245,kaggle_shampabanik12,population_share_within_division
2019-08-27,Faridpur,Dhaka,42.0681,860,0.048916,kaggle_shampabanik12,population_share_within_division
2019-08-27,Gazipur,Dhaka,102.3749,860,0.119041,kaggle_shampabanik12,population_share_within_division
2019-08-27,Gopalganj,Dhaka,25.1889,860,0.029289,kaggle_shampabanik12,population_share_within_division
2019-08-27,Kishoreganj,Dhaka,63.5556,860,0.073902,kaggle_shampabanik12,population_share_within_division
2019-08-27,Madaripur,Dhaka,25.1495,860,0.029244,kaggle_shampabanik12,population_share_within_division
2019-08-27,Manikganj,Dhaka,30.3037,860,0.035237,kaggle_shampabanik12,population_share_within_division
2019-08-27,Munshiganj,Dhaka,31.6145,860,0.036761,kaggle_shampabanik12,population_share_within_division
2019-08-27,Narayanganj,Dhaka,76.033,860,0.08841,kaggle_shampabanik12,population_share_within_division
2019-08-27,Narsingdi,Dhaka,50.2678,860,0.058451,kaggle_shampabanik12,population_share_within_division
2019-08-27,Rajbari,Dhaka,23.1421,860,0.026909,kaggle_shampabanik12,population_share_within_division
2019-08-27,Shariatpur,Dhaka,25.1793,860,0.029278,kaggle_shampabanik12,population_share_within_division
2019-08-27,Tangail,Dhaka,78.5318,860,0.091316,kaggle_shampabanik12,population_share_within_division
2019-08-27,Bagerhat,Khulna,17.0864,182,0.093881,kaggle_shampabanik12,population_share_within_division
2019-08-27,Chuadanga,Khulna,13.0717,182,0.071823,kaggle_shampabanik12,population_share_within_division
2019-08-27,Jashore,Khulna,32.5913,182,0.179073,kaggle_shampabanik12,population_share_within_division
2019-08-27,Jhenaidah,Khulna,18.7624,182,0.10309,kaggle_shampabanik12,population_share_within_division
2019-08-27,Khulna,Khulna,27.6821,182,0.152099,kaggle_shampabanik12,population_share_within_division
2019-08-27,Kushtia,Khulna,22.7704,182,0.125112,kaggle_shampabanik12,population_share_within_division
2019-08-27,Magura,Khulna,10.9432,182,0.060127,kaggle_shampabanik12,population_share_within_division
2019-08-27,Meherpur,Khulna,7.4714,182,0.041052,kaggle_shampabanik12,population_share_within_division
2019-08-27,Narail,Khulna,8.354,182,0.045901,kaggle_shampabanik12,population_share_within_division
2019-08-27,Satkhira,Khulna,23.2671,182,0.127841,kaggle_shampabanik12,population_share_within_division
2019-08-27,Jamalpur,Mymensingh,3.8849,19,0.204469,kaggle_shampabanik12,population_share_within_division
2019-08-27,Mymensingh,Mymensingh,9.1679,19,0.48252,kaggle_shampabanik12,population_share_within_division
2019-08-27,Netrokona,Mymensingh,3.6131,19,0.190165,kaggle_shampabanik12,population_share_within_division
2019-08-27,Sherpur,Mymensingh,2.3341,19,0.122846,kaggle_shampabanik12,population_share_within_division
2019-08-27,Bogura,Rajshahi,13.9441,76,0.183476,kaggle_shampabanik12,population_share_within_division
2019-08-27,Chapai Nawabganj,Rajshahi,6.854,76,0.090184,kaggle_shampabanik12,population_share_within_division
2019-08-27,Joypurhat,Rajshahi,3.5714,76,0.046992,kaggle_shampabanik12,population_share_within_division
2019-08-27,Naogaon,Rajshahi,10.3979,76,0.136814,kaggle_shampabanik12,population_share_within_division
2019-08-27,Natore,Rajshahi,6.9451,76,0.091383,kaggle_shampabanik12,population_share_within_division
2019-08-27,Pabna,Rajshahi,10.8647,76,0.142957,kaggle_shampabanik12,population_share_within_division
2019-08-27,Rajshahi,Rajshahi,10.8849,76,0.143222,kaggle_shampabanik12,population_share_within_division
2019-08-27,Sirajganj,Rajshahi,12.5379,76,0.164973,kaggle_shampabanik12,population_share_within_division
2019-08-27,Dinajpur,Rangpur,3.9532,21,0.188249,kaggle_shampabanik12,population_share_within_division
2019-08-27,Gaibandha,Rangpur,3.0553,21,0.145491,kaggle_shampabanik12,population_share_within_division
2019-08-27,Kurigram,Rangpur,2.7774,21,0.132256,kaggle_shampabanik12,population_share_within_division
2019-08-27,Lalmonirhat,Rangpur,1.7033,21,0.081109,kaggle_shampabanik12,population_share_within_division
2019-08-27,Nilphamari,Rangpur,2.4953,21,0.118822,kaggle_shampabanik12,population_share_within_division
2019-08-27,Panchagarh,Rangpur,1.4069,21,0.066995,kaggle_shampabanik12,population_share_within_division
2019-08-27,Rangpur,Rangpur,3.7796,21,0.17998,kaggle_shampabanik12,population_share_within_division
2019-08-27,Thakurgaon,Rangpur,1.8291,21,0.087099,kaggle_shampabanik12,population_share_within_division
2019-08-27,Habiganj,Sylhet,2.9927,14,0.213767,kaggle_shampabanik12,population_share_within_division
2019-08-27,Moulvibazar,Sylhet,2.694,14,0.192431,kaggle_shampabanik12,population_share_within_division
2019-08-27,Sunamganj,Sylhet,3.4198,14,0.244271,kaggle_shampabanik12,population_share_within_division
