date,division,admissions_observed,source
2019-08-27,Barishal,102,kaggle_shampabanik12
2019-08-27,Chattogram,108,kaggle_shampabanik12
2019-08-27,Dhaka,860,kaggle_shampabanik12
2019-08-27,Khulna,182,kaggle_shampabanik12
2019-08-27,Mymensingh,19,kaggle_shampabanik12
2019-08-27,Rajshahi,76,kaggle_shampabanik12
2019-08-27,Rangpur,21,kaggle_shampabanik12
2019-08-27,Sylhet,14,kaggle_shampabanik12
2019-08-28,Barishal,105,kaggle_shampabanik12
2019-08-28,Chattogram,97,kaggle_shampabanik12
2019-08-28,Dhaka,765,kaggle_shampabanik12
2019-08-28,Khulna,138,kaggle_shampabanik12
2019-08-28,Mymensingh,18,kaggle_shampabanik12
2019-08-28,Rajshahi,67,kaggle_shampabanik12
2019-08-28,Rangpur,13,kaggle_shampabanik12
2019-08-28,Sylhet,9,kaggle_shampabanik12
2019-08-29,Barishal,106,kaggle_shampabanik12
2019-08-29,Chattogram,94,kaggle_shampabanik12
2019-08-29,Dhaka,820,kaggle_shampabanik12
2019-08-29,Khulna,184,kaggle_shampabanik12
2019-08-29,Mymensingh,29,kaggle_shampabanik12
2019-08-29,Rajshahi,69,kaggle_shampabanik12
2019-08-29,Rangpur,15,kaggle_shampabanik12
2019-08-29,Sylhet,13,kaggle_shampabanik12
2019-08-30,Barishal,87,kaggle_shampabanik12
2019-08-30,Chattogram,86,kaggle_shampabanik12
2019-08-30,Dhaka,691,kaggle_shampabanik12
2019-08-30,Khulna,160,kaggle_shampabanik12
2019-08-30,Mymensingh,20,kaggle_shampabanik12
2019-08-30,Rajshahi,60,kaggle_shampabanik12
2019-08-30,Rangpur,11,kaggle_shampabanik12
2019-08-30,Sylhet,5,kaggle_shampabanik12
2019-08-31,Barishal,63,kaggle_shampabanik12
2019-08-31,Chattogram,61,kaggle_shampabanik12
2019-08-31,Dhaka,513,kaggle_shampabanik12
2019-08-31,Khulna,121,kaggle_shampabanik12
2019-08-31,Mymensingh,14,kaggle_shampabanik12
2019-08-31,Rajshahi,32,kaggle_shampabanik12
2019-08-31,Rangpur,12,kaggle_shampabanik12
2019-08-31,Sylhet,6,kaggle_shampabanik12
2019-09-01,Barishal,93,kaggle_shampabanik12
2019-09-01,Chattogram,68,kaggle_shampabanik12
2019-09-01,Dhaka,600,kaggle_shampabanik12
2019-09-01,Khulna,133,kaggle_shampabanik12
2019-09-01,Mymensingh,19,kaggle_shampabanik12
2019-09-01,Rajshahi,54,kaggle_shampabanik12
2019-09-01,Rangpur,17,kaggle_shampabanik12
2019-09-01,Sylhet,10,kaggle_shampabanik12
2019-09-02,Barishal,61,kaggle_shampabanik12
2019-09-02,Chattogram,72,kaggle_shampabanik12
2019-09-02,Dhaka,578,kaggle_shampabanik12
2019-09-02,Khulna,143,kaggle_shampabanik12
2019-09-02,Mymensingh,16,kaggle_shampabanik12
