date,division,district,admissions,source,is_estimated
2019-08-27,Barishal,Barguna,11.3267,kaggle_division_disaggregated,True
2019-08-27,Barishal,Barishal,28.8113,kaggle_division_disaggregated,True
2019-08-27,Barishal,Bhola,21.6609,kaggle_division_disaggregated,True
2019-08-27,Barishal,Jhalokati,7.4107,kaggle_division_disaggregated,True
2019-08-27,Barishal,Patuakhali,19.3602,kaggle_division_disaggregated,True
2019-08-27,Barishal,Pirojpur,13.4301,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Bandarban,1.5649,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Brahmanbaria,10.7555,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Chandpur,8.5735,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Chattogram,29.8263,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Cox's Bazar,9.1835,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Cumilla,20.207,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Feni,5.3635,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Khagrachhari,2.3229,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Lakshmipur,6.3043,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Noakhali,11.7922,kaggle_division_disaggregated,True
2019-08-27,Chattogram,Rangamati,2.1065,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Dhaka,286.5909,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Faridpur,42.0681,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Gazipur,102.3749,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Gopalganj,25.1889,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Kishoreganj,63.5556,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Madaripur,25.1495,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Manikganj,30.3037,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Munshiganj,31.6145,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Narayanganj,76.033,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Narsingdi,50.2678,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Rajbari,23.1421,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Shariatpur,25.1793,kaggle_division_disaggregated,True
2019-08-27,Dhaka,Tangail,78.5318,kaggle_division_disaggregated,True
2019-08-27,Khulna,Bagerhat,17.0864,kaggle_division_disaggregated,True
2019-08-27,Khulna,Chuadanga,13.0717,kaggle_division_disaggregated,True
2019-08-27,Khulna,Jashore,32.5913,kaggle_division_disaggregated,True
2019-08-27,Khulna,Jhenaidah,18.7624,kaggle_division_disaggregated,True
2019-08-27,Khulna,Khulna,27.6821,kaggle_division_disaggregated,True
2019-08-27,Khulna,Kushtia,22.7704,kaggle_division_disaggregated,True
2019-08-27,Khulna,Magura,10.9432,kaggle_division_disaggregated,True
2019-08-27,Khulna,Meherpur,7.4714,kaggle_division_disaggregated,True
2019-08-27,Khulna,Narail,8.354,kaggle_division_disaggregated,True
2019-08-27,Khulna,Satkhira,23.2671,kaggle_division_disaggregated,True
2019-08-27,Mymensingh,Jamalpur,3.8849,kaggle_division_disaggregated,True
2019-08-27,Mymensingh,Mymensingh,9.1679,kaggle_division_disaggregated,True
2019-08-27,Mymensingh,Netrokona,3.6131,kaggle_division_disaggregated,True
2019-08-27,Mymensingh,Sherpur,2.3341,kaggle_division_disaggregated,True
