date,division,district,admissions_24h,cumulative_total,cumulative_deaths,cumulative_discharged,district_raw,source,date_source
2021-12-13,Barishal,Barguna,0,74,0,73,েিগুনা,wayback_dghs_pdf,pdf_text
2021-12-13,Barishal,Barishal,2,219,0,215,েরি াল,wayback_dghs_pdf,pdf_text
2021-12-13,Barishal,Bhola,0,62,0,62,বভালা,wayback_dghs_pdf,pdf_text
2021-12-13,Barishal,Jhalokati,0,10,0,4,িালকাঠি,wayback_dghs_pdf,pdf_text
2021-12-13,Barishal,Patuakhali,0,250,1,246,পটুয়াখালী,wayback_dghs_pdf,pdf_text
2021-12-13,Barishal,Pirojpur,0,27,0,27,রপমিাজপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Bandarban,0,13,0,13,োন্দিোন,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Brahmanbaria,0,3,0,3,ব্রাহ্মনোরড়য়া,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Chandpur,1,129,0,127,চাঁদপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Chattogram,8,515,2,495,চট্টগ্রা,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Cox's Bazar,13,244,0,244,কক্সোজাি,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Cumilla,0,136,0,135,কুর ল্লা,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Feni,0,44,0,44,বফনী,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Khagrachhari,0,4,0,4,খাগড়াছরড়,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Lakshmipur,1,24,0,23,লক্ষীপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Noakhali,0,0,0,0,বনায়াখালী,wayback_dghs_pdf,pdf_text
2021-12-13,Chattogram,Rangamati,0,0,0,0,িাঙ্গা াটি,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Dhaka,0,8,0,8,ঢাকা,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Dhaka Metro,15,23409,92,23206,ঢাকা হানগি,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Faridpur,0,52,0,51,ফরিদপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Gazipur,0,1117,0,1110,গাজীপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Gopalganj,0,4,0,4,বগাপালগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Kishoreganj,0,80,0,80,রকম ািগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Madaripur,0,95,0,95,াদািীপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Manikganj,0,127,0,127,ারনকগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Munshiganj,0,32,0,32,মুরিরগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Narayanganj,0,1,0,1,নািায়ণগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Narsingdi,0,43,0,43,নিরসিংদী,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Rajbari,0,18,0,18,িাজোড়ী,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Shariatpur,0,66,0,66,িীয়তপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Dhaka,Tangail,0,71,0,71,টাঙ্গাইল,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Bagerhat,0,20,0,20,োমগিহাট,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Chuadanga,0,2,0,2,চুয়ািাঙ্গা,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Jashore,1,141,1,135,যম াি,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Jhenaidah,0,32,0,32,রিনাইদহ,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Khulna,0,150,1,148,খুলনা,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Kushtia,1,47,0,47,কুরিয়া,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Magura,0,22,0,21,াগুিা,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Meherpur,0,19,0,19,ব মহিপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Narail,0,39,0,39,নড়াইল,wayback_dghs_pdf,pdf_text
2021-12-13,Khulna,Satkhira,0,25,0,24,সাতক্ষীিা,wayback_dghs_pdf,pdf_text
2021-12-13,Mymensingh,Jamalpur,0,23,1,22,জা ালপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Mymensingh,Mymensingh,0,248,2,243,য় নরসিংহ,wayback_dghs_pdf,pdf_text
2021-12-13,Mymensingh,Netrokona,0,16,0,16,বনত্রমকানা,wayback_dghs_pdf,pdf_text
2021-12-13,Mymensingh,Sherpur,0,20,0,20,ব িপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Bogura,0,19,1,16,েগুড়া,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Chapai Nawabganj,0,11,0,11,চাপাইনোেগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Joypurhat,0,3,0,2,জয়পুিহাট,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Naogaon,0,27,0,24,নওগাঁ,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Natore,0,8,0,6,নামটাি,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Pabna,0,37,0,34,পােনা,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Rajshahi,0,82,0,82,িাজ াহী,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Sirajganj,0,16,0,14,রসিাজগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Dinajpur,0,39,0,39,রদনাজপুি,wayback_dghs_pdf,pdf_text
