date,division,district,sarkari_24h,besarkari_24h,admissions_24h,cumulative_total,cumulative_deaths,cumulative_discharged,source,date_source
2021-12-13,ঢাকা হানগি,ঢাকা হানগি,9,6,15,23409,92,23206,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),ঢাকা,0,0,0,8,0,8,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),ফরিদপুি,0,0,0,52,0,51,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),গাজীপুি,0,0,0,1117,0,1110,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),বগাপালগঞ্জ,0,0,0,4,0,4,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),রকম ািগঞ্জ,0,0,0,80,0,80,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),াদািীপুি,0,0,0,95,0,95,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),ারনকগঞ্জ,0,0,0,127,0,127,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),মুরিরগঞ্জ,0,0,0,32,0,32,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),নািায়ণগঞ্জ,0,0,0,1,0,1,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),নিরসিংদী,0,0,0,43,0,43,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),িাজোড়ী,0,0,0,18,0,18,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),িীয়তপুি,0,0,0,66,0,66,wayback_dghs_pdf,pdf_text
2021-12-13,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),টাঙ্গাইল,0,0,0,71,0,71,wayback_dghs_pdf,pdf_text
2021-12-13,য় নরসিংহ রেভাগ,য় নরসিংহ,0,0,0,248,2,243,wayback_dghs_pdf,pdf_text
2021-12-13,য় নরসিংহ রেভাগ,জা ালপুি,0,0,0,23,1,22,wayback_dghs_pdf,pdf_text
2021-12-13,য় নরসিংহ রেভাগ,ব িপুি,0,0,0,20,0,20,wayback_dghs_pdf,pdf_text
2021-12-13,য় নরসিংহ রেভাগ,বনত্রমকানা,0,0,0,16,0,16,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,চট্টগ্রা,3,5,8,515,2,495,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,কক্সোজাি,0,13,13,244,0,244,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,িাঙ্গা াটি,0,0,0,0,0,0,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,খাগড়াছরড়,0,0,0,4,0,4,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,োন্দিোন,0,0,0,13,0,13,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,বফনী,0,0,0,44,0,44,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,কুর ল্লা,0,0,0,136,0,135,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,চাঁদপুি,1,0,1,129,0,127,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,লক্ষীপুি,1,0,1,24,0,23,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,বনায়াখালী,0,0,0,0,0,0,wayback_dghs_pdf,pdf_text
2021-12-13,চট্টগ্রা রেভাগ,ব্রাহ্মনোরড়য়া,0,0,0,3,0,3,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,খুলনা,0,0,0,150,1,148,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,োমগিহাট,0,0,0,20,0,20,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,সাতক্ষীিা,0,0,0,25,0,24,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,যম াি,1,0,1,141,1,135,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,রিনাইদহ,0,0,0,32,0,32,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,াগুিা,0,0,0,22,0,21,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,নড়াইল,0,0,0,39,0,39,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,কুরিয়া,1,0,1,47,0,47,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,চুয়ািাঙ্গা,0,0,0,2,0,2,wayback_dghs_pdf,pdf_text
2021-12-13,খুলনা রেভাগ,ব মহিপুি,0,0,0,19,0,19,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,িাজ াহী,0,0,0,82,0,82,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,চাপাইনোেগঞ্জ,0,0,0,11,0,11,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,নওগাঁ,0,0,0,27,0,24,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,নামটাি,0,0,0,8,0,6,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,জয়পুিহাট,0,0,0,3,0,2,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,েগুড়া,0,0,0,19,1,16,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,রসিাজগঞ্জ,0,0,0,16,0,14,wayback_dghs_pdf,pdf_text
2021-12-13,িাজ াহী রেভাগ,পােনা,0,0,0,37,0,34,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,িিংপুি,0,0,0,18,0,18,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,লাল রনিহাট,0,0,0,0,0,0,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,কুরড়গ্রা,0,0,0,1,0,1,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,নীলফা ািী,0,0,0,10,0,10,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,রদনাজপুি,0,0,0,39,0,39,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,গাইোন্ধা,0,0,0,2,0,2,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,ঠাকুিগাঁও,0,0,0,0,0,0,wayback_dghs_pdf,pdf_text
2021-12-13,িিংপুি রেভাগ,পঞ্চগড়,0,0,0,0,0,0,wayback_dghs_pdf,pdf_text
2021-12-13,েরি াল রেভাগ,েরি াল,2,0,2,219,0,215,wayback_dghs_pdf,pdf_text
2021-12-13,েরি াল রেভাগ,পটুয়াখালী,0,0,0,250,1,246,wayback_dghs_pdf,pdf_text
2021-12-13,েরি াল রেভাগ,বভালা,0,0,0,62,0,62,wayback_dghs_pdf,pdf_text
