date,division,district,rain_mm,temp_mean_c,temp_max_c,humidity_pct
2021-06-01,Khulna,Bagerhat,15.34,29.2,32.1,87.0
2021-06-01,Chattogram,Bandarban,37.19,26.98,31.4,86.56
2021-06-01,Barishal,Barguna,14.69,29.34,30.99,87.1
2021-06-01,Barishal,Barishal,24.08,28.96,31.24,89.01
2021-06-01,Barishal,Bhola,25.55,29.11,31.05,88.61
2021-06-01,Rajshahi,Bogura,11.58,29.32,32.3,84.97
2021-06-01,Chattogram,Brahmanbaria,22.31,28.43,30.93,89.2
2021-06-01,Chattogram,Chandpur,22.24,28.9,31.3,88.69
2021-06-01,Rajshahi,Chapai Nawabganj,2.57,30.18,33.79,81.46
2021-06-01,Chattogram,Chattogram,45.21,28.59,30.26,89.05
2021-06-01,Khulna,Chuadanga,8.99,29.35,32.62,86.79
2021-06-01,Chattogram,Cox's Bazar,33.33,29.25,30.3,86.18
2021-06-01,Chattogram,Cumilla,31.77,28.33,30.65,90.64
2021-06-01,Dhaka,Dhaka,24.55,28.72,31.15,89.42
2021-06-01,Rangpur,Dinajpur,3.48,29.59,33.2,81.73
2021-06-01,Dhaka,Faridpur,21.41,28.85,31.59,88.76
2021-06-01,Chattogram,Feni,38.72,28.51,30.57,90.62
2021-06-01,Rangpur,Gaibandha,7.38,29.25,32.32,83.96
2021-06-01,Dhaka,Gazipur,24.14,28.63,31.09,89.77
2021-06-01,Dhaka,Gopalganj,17.81,28.94,31.93,88.26
2021-06-01,Sylhet,Habiganj,29.07,28.32,31.05,89.55
2021-06-01,Mymensingh,Jamalpur,16.39,28.71,31.68,87.56
2021-06-01,Khulna,Jashore,14.15,29.06,32.18,88.07
2021-06-01,Barishal,Jhalokati,15.34,29.2,32.1,87.0
2021-06-01,Khulna,Jhenaidah,17.55,28.95,31.91,88.56
2021-06-01,Rajshahi,Joypurhat,11.58,29.32,32.3,84.97
2021-06-01,Chattogram,Khagrachhari,39.96,27.42,29.6,94.03
2021-06-01,Khulna,Khulna,10.35,29.31,32.32,86.81
2021-06-01,Dhaka,Kishoreganj,29.07,28.32,31.05,89.55
2021-06-01,Rangpur,Kurigram,5.5,28.84,32.21,83.23
2021-06-01,Khulna,Kushtia,8.37,29.48,32.66,85.47
2021-06-01,Chattogram,Lakshmipur,24.08,28.96,31.24,89.01
2021-06-01,Rangpur,Lalmonirhat,4.65,29.13,32.48,83.19
