District,Month,Patients
Dhaka,27/8/19,860
Chottogram,27/8/19,108
Khulna,27/8/19,182
Rangpur,27/8/19,21
Barishal,27/8/19,102
Sylet,27/8/19,14
Mymensingh,27/8/19,19
Rajshahi,27/8/19,76
Dhaka,28/8/19,765
Chottogram,28/8/19,97
Khulna,28/8/19,138
Rangpur,28/8/19,13
Barishal,28/8/19,105
Sylet,28/8/19,9
Mymensingh,28/8/19,18
Rajshahi,28/8/19,67
Dhaka,29/8/19,820
Chottogram,29/8/19,94
Khulna,29/8/19,184
Rangpur,29/8/19,15
Barishal,29/8/19,106
Sylet,29/8/19,13
Mymensingh,29/8/19,29
Rajshahi,29/8/19,69
Dhaka,30/8/19,691
Chottogram,30/8/19,86
Khulna,30/8/19,160
Rangpur,30/8/19,11
Barishal,30/8/19,87
Sylet,30/8/19,5
Mymensingh,30/8/19,20
Rajshahi,30/8/19,60
Dhaka,31/8/19,513
Chottogram,31/8/19,61
Khulna,31/8/19,121
Rangpur,31/8/19,12
Barishal,31/8/19,63
Sylet,31/8/19,6
Mymensingh,31/8/19,14
Rajshahi,31/8/19,32
Dhaka,1/9/2019,600
Chottogram,1/9/2019,68
Khulna,1/9/2019,133
Rangpur,1/9/2019,17
Barishal,1/9/2019,93
Sylet,1/9/2019,10
Mymensingh,1/9/2019,19
Rajshahi,1/9/2019,54
Dhaka,2/9/2019,578
Chottogram,2/9/2019,72
Khulna,2/9/2019,143
Rangpur,2/9/2019,17
Barishal,2/9/2019,61
Sylet,2/9/2019,9
Mymensingh,2/9/2019,16
Rajshahi,2/9/2019,42
Dhaka,3/9/2019,550
Chottogram,3/9/2019,71
Khulna,3/9/2019,107
Rangpur,3/9/2019,21
Barishal,3/9/2019,56
Sylet,3/9/2019,6
Mymensingh,3/9/2019,14
Rajshahi,3/9/2019,53
Dhaka,4/9/2019,588
Chottogram,4/9/2019,52
Khulna,4/9/2019,187
Rangpur,4/9/2019,13
Barishal,4/9/2019,78
Sylet,4/9/2019,8
Mymensingh,4/9/2019,21
Rajshahi,4/9/2019,43
Dhaka,5/9/2019,564
Chottogram,5/9/2019,63
Khulna,5/9/2019,131
Rangpur,5/9/2019,16
Barishal,5/9/2019,62
Sylet,5/9/2019,5
Mymensingh,5/9/2019,22
Rajshahi,5/9/2019,51
Dhaka,6/9/2019,569
Chottogram,6/9/2019,89
Khulna,6/9/2019,141
Rangpur,6/9/2019,8
Barishal,6/9/2019,57
Sylet,6/9/2019,9
Mymensingh,6/9/2019,17
Rajshahi,6/9/2019,46
Dhaka,7/9/2019,449
Chottogram,7/9/2019,47
Khulna,7/9/2019,115
Rangpur,7/9/2019,11
Barishal,7/9/2019,63
Sylet,7/9/2019,11
Mymensingh,7/9/2019,13
Rajshahi,7/9/2019,39
Dhaka,8/9/2019,551
Chottogram,8/9/2019,51
Khulna,8/9/2019,139
Rangpur,8/9/2019,13
Barishal,8/9/2019,66
Sylet,8/9/2019,9
Mymensingh,8/9/2019,23
Rajshahi,8/9/2019,42
Dhaka,9/9/2019,504
Chottogram,9/9/2019,54
Khulna,9/9/2019,135
Rangpur,9/9/2019,13
Barishal,9/9/2019,68
Sylet,9/9/2019,7
Mymensingh,9/9/2019,19
Rajshahi,9/9/2019,32
Dhaka,10/9/2019,558
Chottogram,10/9/2019,49
Khulna,10/9/2019,172
Rangpur,10/9/2019,9
Barishal,10/9/2019,67
Sylet,10/9/2019,4
Mymensingh,10/9/2019,13
Rajshahi,10/9/2019,46
Dhaka,11/9/2019,310
Chottogram,11/9/2019,51
Khulna,11/9/2019,138
Rangpur,11/9/2019,12
Barishal,11/9/2019,67
Sylet,11/9/2019,5
Mymensingh,11/9/2019,7
Rajshahi,11/9/2019,44
Dhaka,12/9/2019,349
Chottogram,12/9/2019,46
Khulna,12/9/2019,200
Rangpur,12/9/2019,12
Barishal,12/9/2019,64
Sylet,12/9/2019,13
Mymensingh,12/9/2019,17
Rajshahi,12/9/2019,49
Dhaka,13/9/2019,329
Chottogram,13/9/2019,47
Khulna,13/9/2019,174
Rangpur,13/9/2019,8
Barishal,13/9/2019,54
Sylet,13/9/2019,6
Mymensingh,13/9/2019,8
Rajshahi,13/9/2019,47
Dhaka,14/9/2019,235
Chottogram,14/9/2019,46
Khulna,14/9/2019,143
