district,division,latitude,longitude,method,source_shape_name
Bagerhat,Khulna,22.3698,89.7396,area_centroid,Bagerhat
Bandarban,Chattogram,21.8071,92.3638,area_centroid,Bandarban
Barguna,Barishal,22.1411,90.1206,area_centroid,Barguna
Barishal,Barishal,22.8114,90.3414,area_centroid,Barisal
Bhola,Barishal,22.3358,90.7332,area_centroid,Bhola
Bogura,Rajshahi,24.8245,89.3788,area_centroid,Bogra
Brahmanbaria,Chattogram,23.953,91.0835,area_centroid,Brahamanbaria
Chandpur,Chattogram,23.2736,90.7712,area_centroid,Chandpur
Chapai Nawabganj,Rajshahi,24.7156,88.2641,area_centroid,Nawabganj
Chattogram,Chattogram,22.4432,91.8343,area_centroid,Chittagong
Chuadanga,Khulna,23.6083,88.848,area_centroid,Chuadanga
Cox's Bazar,Chattogram,21.4836,92.0641,area_centroid,Cox's Bazar
Cumilla,Chattogram,23.4369,91.034,area_centroid,Comilla
Dhaka,Dhaka,23.7869,90.2508,area_centroid,Dhaka
Dinajpur,Rangpur,25.6299,88.7869,area_centroid,Dinajpur
Faridpur,Dhaka,23.4789,89.8388,area_centroid,Faridpur
Feni,Chattogram,22.9993,91.4124,area_centroid,Feni
Gaibandha,Rangpur,25.2987,89.5059,area_centroid,Gaibandha
Gazipur,Dhaka,24.0984,90.4449,area_centroid,Gazipur
Gopalganj,Dhaka,23.1055,89.8995,area_centroid,Gopalganj
Habiganj,Sylhet,24.3681,91.4303,area_centroid,Habiganj
Jamalpur,Mymensingh,24.9732,89.8463,area_centroid,Jamalpur
Jashore,Khulna,23.0898,89.1747,area_centroid,Jessore
Jhalokati,Barishal,22.5728,90.1839,area_centroid,Jhalokati
Jhenaidah,Khulna,23.4891,89.0874,area_centroid,Jhenaidah
Joypurhat,Rajshahi,25.0927,89.0829,area_centroid,Joypurhat
Khagrachhari,Chattogram,23.1642,91.9521,area_centroid,Khagrachhari
Khulna,Khulna,22.4711,89.4478,area_centroid,Khulna
Kishoreganj,Dhaka,24.3762,90.9423,area_centroid,Kishoreganj
Kurigram,Rangpur,25.7921,89.6947,area_centroid,Kurigram
Kushtia,Khulna,23.9229,89.022,area_centroid,Kushtia
Lakshmipur,Chattogram,22.8917,90.8559,area_centroid,Lakshmipur
Lalmonirhat,Rangpur,26.0631,89.2358,area_centroid,Lalmonirhat
Madaripur,Dhaka,23.2182,90.1651,area_centroid,Madaripur
Magura,Khulna,23.4432,89.4337,area_centroid,Magura
Manikganj,Dhaka,23.844,89.9496,area_centroid,Manikganj
Meherpur,Khulna,23.794,88.7071,area_centroid,Meherpur
Moulvibazar,Sylhet,24.4804,91.9154,area_centroid,Maulvibazar
Munshiganj,Dhaka,23.5258,90.4173,area_centroid,Munshiganj
Mymensingh,Mymensingh,24.6991,90.4286,area_centroid,Mymensingh
Naogaon,Rajshahi,24.8996,88.7516,area_centroid,Naogaon
Narail,Khulna,23.1301,89.5801,area_centroid,Narail
Narayanganj,Dhaka,23.7232,90.5781,area_centroid,Narayanganj
Narsingdi,Dhaka,24.0024,90.7732,area_centroid,Narsingdi
Natore,Rajshahi,24.3803,89.0868,area_centroid,Natore
Netrokona,Mymensingh,24.8708,90.8446,area_centroid,Netrakona
Nilphamari,Rangpur,26.0247,88.9295,area_centroid,Nilphamari
Noakhali,Chattogram,22.6941,91.1246,area_centroid,Noakhali
Pabna,Rajshahi,24.0532,89.3853,area_centroid,Pabna
Panchagarh,Rangpur,26.2851,88.5755,area_centroid,Panchagarh
Patuakhali,Barishal,22.1912,90.3989,area_centroid,Patuakhali
Pirojpur,Barishal,22.5337,89.9932,area_centroid,Pirojpur
Rajbari,Dhaka,23.7276,89.5615,area_centroid,Rajbari
Rajshahi,Rajshahi,24.4658,88.6514,area_centroid,Rajshahi
Rangamati,Chattogram,22.83,92.2795,area_centroid,Rangamati
Rangpur,Rangpur,25.6497,89.2368,area_centroid,Rangpur
Satkhira,Khulna,22.3822,89.1367,area_centroid,Satkhira
Shariatpur,Dhaka,23.2474,90.4084,area_centroid,Shariatpur
Sherpur,Mymensingh,25.0823,90.0745,area_centroid,Sherpur
Sirajganj,Rajshahi,24.3916,89.5996,area_centroid,Sirajganj
Sunamganj,Sylhet,24.9386,91.346,area_centroid,Sunamganj
Sylhet,Sylhet,24.9192,91.9873,area_centroid,Sylhet
Tangail,Dhaka,24.3563,89.9986,area_centroid,Tangail
Thakurgaon,Rangpur,25.9906,88.3456,area_centroid,Thakurgaon
