district,division,population
Dhaka,Dhaka,14734701
Faridpur,Dhaka,2162876
Tangail,Dhaka,4037608
Gazipur,Dhaka,5263474
Narayanganj,Dhaka,3909138
Kishoreganj,Dhaka,3267630
Narsingdi,Dhaka,2584452
Munshiganj,Dhaka,1625418
Manikganj,Dhaka,1558024
Gopalganj,Dhaka,1295053
Shariatpur,Dhaka,1294561
Madaripur,Dhaka,1293027
Rajbari,Dhaka,1189821
Chattogram,Chattogram,9169464
Cumilla,Chattogram,6212216
Noakhali,Chattogram,3625252
Rangamati,Chattogram,647587
Bandarban,Chattogram,481109
Khagrachhari,Chattogram,714119
Brahmanbaria,Chattogram,3306559
Cox's Bazar,Chattogram,2823265
Chandpur,Chattogram,2635748
Lakshmipur,Chattogram,1938111
Feni,Chattogram,1648896
Rajshahi,Rajshahi,2915013
Bogura,Rajshahi,3734300
Pabna,Rajshahi,2909622
Joypurhat,Rajshahi,956430
Sirajganj,Rajshahi,3357708
Naogaon,Rajshahi,2784598
Natore,Rajshahi,1859921
Chapai Nawabganj,Rajshahi,1835527
Jashore,Khulna,3076849
Khulna,Khulna,2613385
Kushtia,Khulna,2149692
Satkhira,Khulna,2196581
Jhenaidah,Khulna,1771304
Bagerhat,Khulna,1613079
Chuadanga,Khulna,1234066
Magura,Khulna,1033115
Narail,Khulna,788673
Meherpur,Khulna,705356
Barishal,Barishal,2570450
Patuakhali,Barishal,1727254
Bhola,Barishal,1932514
Pirojpur,Barishal,1198193
Barguna,Barishal,1010530
Jhalokati,Barishal,661161
Sylhet,Sylhet,3857037
Sunamganj,Sylhet,2695495
Habiganj,Sylhet,2358886
Moulvibazar,Sylhet,2123445
Rangpur,Rangpur,3169615
Nilphamari,Rangpur,2092568
Dinajpur,Rangpur,3315238
Thakurgaon,Rangpur,1533894
Gaibandha,Rangpur,2562232
Kurigram,Rangpur,2329161
Lalmonirhat,Rangpur,1428406
Panchagarh,Rangpur,1179843
Mymensingh,Mymensingh,5899052
Jamalpur,Mymensingh,2499737
Netrokona,Mymensingh,2324856
Sherpur,Mymensingh,1501853
