district,latitude,longitude,start,end,http_status,bytes,days_returned,sha256,url
Dhaka,23.7869,90.2508,20210601,20260731,200,126328,1887,e1b19f8584764ce185a5d26fa7763b64cc0be6cde3dbb6c74aec24ff03b04556,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=90.2508&latitude=23.7869&start=20210601&end=20260731&format=JSON
Bagerhat,22.3698,89.7396,20210601,20260731,200,126387,1887,6661749e1b922f62ff6a078e3250289a7661414627b018250d75e39d85c3c507,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=89.7396&latitude=22.3698&start=20210601&end=20260731&format=JSON
Bandarban,21.8071,92.3638,20210601,20260731,200,126345,1887,d1b4c9675e51d117f7f01798b29bbf99e62e63f28d4ad976d3d6ae24b3a9bae5,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=92.3638&latitude=21.8071&start=20210601&end=20260731&format=JSON
Barguna,22.1411,90.1206,20210601,20260731,200,126520,1887,1df29faf6170fb7e7351ec935263bd96fb7ef9e798ad4e13e5baa38de307b0d9,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=90.1206&latitude=22.1411&start=20210601&end=20260731&format=JSON
Barishal,22.8114,90.3414,20210601,20260731,200,126414,1887,e6b6cc7f1ee232e5a828012d1a542c68aa293c174ba3264e5c0e1496343f2c71,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=90.3414&latitude=22.8114&start=20210601&end=20260731&format=JSON
Bhola,22.3358,90.7332,20210601,20260731,200,126485,1887,ef3b28c4d95ef06fa15d661330a49cedb8a776dcad7da9c59c8b98b6f58b00b8,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=90.7332&latitude=22.3358&start=20210601&end=20260731&format=JSON
Bogura,24.8245,89.3788,20210601,20260731,200,126280,1887,4557524bdf7aca9bbf45e50d1f6f67a98aceb4cf43b2888eb41e39f1c615e63f,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=89.3788&latitude=24.8245&start=20210601&end=20260731&format=JSON
Brahmanbaria,23.953,91.0835,20210601,20260731,200,126348,1887,2d06903b19c0a5ef0876cc10e534a92e4fe119e32effe0ce8c94dfcce20ff21f,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=91.0835&latitude=23.953&start=20210601&end=20260731&format=JSON
Chandpur,23.2736,90.7712,20210601,20260731,200,126370,1887,c31097bdc233f57567e63933f09a28c2e1a5670569631ad163a90986080f13c9,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=90.7712&latitude=23.2736&start=20210601&end=20260731&format=JSON
Chapai Nawabganj,24.7156,88.2641,20210601,20260731,200,125993,1887,a5e6becbe7ebc28aee249324cf701758255b469400c664e62563c4eac7663b8c,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=88.2641&latitude=24.7156&start=20210601&end=20260731&format=JSON
Chattogram,22.4432,91.8343,20210601,20260731,200,126399,1887,2f9f39c890d12dc6334ca5e2823090850ea7ecaf17b47df244548e01e02a1567,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=91.8343&latitude=22.4432&start=20210601&end=20260731&format=JSON
Chuadanga,23.6083,88.848,20210601,20260731,200,126102,1887,d73f331e52aab67fe0d4e72b663ab02591853803d4281e8655074aeb34cab107,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=88.848&latitude=23.6083&start=20210601&end=20260731&format=JSON
Cox's Bazar,21.4836,92.0641,20210601,20260731,200,126623,1887,a9d1c0dc205e82ad666ed099b18f97d0ba71af8afdc0fc1224660c4a3da6aa8d,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=92.0641&latitude=21.4836&start=20210601&end=20260731&format=JSON
Cumilla,23.4369,91.034,20210601,20260731,200,126343,1887,c97601b33fb52d88cb8da59599a76757fd2e38acc54e9af2a638ca4fa04b8b72,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=91.034&latitude=23.4369&start=20210601&end=20260731&format=JSON
Dinajpur,25.6299,88.7869,20210601,20260731,200,126174,1887,5963403621b71b9f4fde140eba31bc8200695e5660325b1f26e88352a0578833,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CRH2M&community=AG&longitude=88.7869&latitude=25.6299&start=20210601&end=20260731&format=JSON
