feature,non_null,mean,std,min,max
lag_0,70464,7.0597,42.3664,0.0,1327.0
lag_1,70464,7.0544,42.3347,0.0,1327.0
lag_2,70464,7.0519,42.3201,0.0,1327.0
lag_3,70464,7.0486,42.3148,0.0,1327.0
lag_7,70464,7.0526,42.296,0.0,1327.0
lag_14,70464,7.0444,42.2826,0.0,1327.0
lag_21,70464,7.0251,42.2463,0.0,1327.0
lag_28,70464,7.01,42.2158,0.0,1327.0
roll_mean_7,70464,7.0542,41.3648,0.0,1171.4286
roll_mean_14,70464,7.0494,41.1529,0.0,1149.7143
roll_mean_28,70464,7.0362,40.608,0.0,1068.3929
roll_max_7,70464,11.0627,50.8104,0.0,1327.0
roll_max_14,70464,12.5949,54.1508,0.0,1327.0
roll_max_28,70464,14.8411,59.5502,0.0,1327.0
roll_std_7,70464,2.7909,9.2958,0.0,323.0384
roll_std_14,70464,2.9679,9.7394,0.0,330.1593
trend_7_28,70464,0.018,9.6908,-203.8929,457.0357
trend_7_14,70464,0.0047,3.9542,-107.2857,169.9286
division_other_mean_lag7,70464,7.0526,17.1525,0.0,141.9167
log_population,70464,14.5491,0.6289,13.0838,16.5057
year,70464,2023.2434,1.017,2022.0,2026.0
month,70464,6.4668,3.5074,1.0,12.0
day_of_week,70464,2.9955,1.9993,0.0,6.0
week_of_year,70464,26.2089,15.2944,1.0,52.0
day_of_year,70464,181.4214,107.3209,1.0,366.0
is_weekend,70464,0.2861,0.4519,0.0,1.0
is_public_holiday,70464,0.0291,0.168,0.0,1.0
is_fixed_holiday,70464,0.0182,0.1335,0.0,1.0
is_eid_holiday,70464,0.0109,0.1038,0.0,1.0
is_ramadan,70464,0.0926,0.2899,0.0,1.0
ramadan_day,70464,1.2788,4.7095,0.0,30.0
days_to_eid_fitr,70464,-7.1026,101.3283,-177.0,177.0
days_to_eid_adha,70464,-3.9682,105.2202,-177.0,177.0
is_eid_travel_window,70464,0.0436,0.2042,0.0,1.0
is_winter_fog_season,70464,0.1626,0.369,0.0,1.0
