feature,kind,mean,std,min,max
lag_0,endogenous,43.1593,266.817,0.0,8200.0
lag_1,endogenous,43.664,268.0654,0.0,8200.0
lag_2,endogenous,44.0444,269.291,0.0,8200.0
lag_3,endogenous,44.3059,270.2998,0.0,8200.0
lag_4,endogenous,44.4502,270.6668,0.0,8200.0
lag_8,endogenous,43.9419,269.7431,0.0,8200.0
roll_mean_4,endogenous,43.7934,263.9957,0.0,7372.25
roll_mean_8,endogenous,44.0779,256.1977,0.0,6808.0
roll_max_4,endogenous,57.3821,315.7873,0.0,8200.0
roll_max_8,endogenous,72.5211,364.6779,0.0,8200.0
roll_std_4,endogenous,11.6912,56.1119,0.0,2362.6088
growth_1_4,endogenous,1.0118,0.4611,0.0034,3.7857
growth_4_8,endogenous,1.0022,0.3532,0.0581,1.9863
peer_other_lag1,endogenous,43.664,109.8264,0.0,872.3333
log_population,endogenous,14.5491,0.629,13.0838,16.5057
month,endogenous,6.3552,3.3892,1.0,12.0
woy_sin,endogenous,0.0825,0.6965,-1.0,1.0
woy_cos,endogenous,-0.0376,0.7118,-1.0,1.0
eid_days,endogenous,0.1257,0.5537,0.0,3.0
ramadan_days,endogenous,0.6448,1.9333,0.0,7.0
holiday_days,endogenous,0.2514,0.6547,0.0,4.0
fog_days,endogenous,1.0656,2.442,0.0,7.0
rain_lag_0,weather,51.3784,71.9896,0.0,770.41
rain_lag_2,weather,50.0685,70.7843,0.0,760.76
rain_lag_3,weather,50.4817,71.4483,0.0,760.76
rain_lag_4,weather,49.3218,70.3149,0.0,760.76
rain_lag_5,weather,48.9698,70.3606,0.0,760.76
rain_lag_6,weather,48.6925,71.8723,0.0,760.76
rain_lag_8,weather,47.2487,70.4033,0.0,760.76
rain_lag_10,weather,47.2223,70.9688,0.0,788.25
rain_lag_12,weather,46.8204,70.5493,0.0,788.25
temp_lag_0,weather,25.7456,4.4124,14.0657,35.9671
temp_max_lag_0,weather,30.6207,4.138,20.7314,44.6271
temp_lag_2,weather,25.6719,4.389,14.0657,35.9671
temp_lag_4,weather,25.6195,4.4139,14.0657,35.9671
temp_max_lag_4,weather,30.5371,4.1303,19.9671,44.6271
temp_lag_6,weather,25.5344,4.4616,14.0657,35.9671
temp_lag_8,weather,25.3562,4.5137,14.0657,35.9671
humid_lag_0,weather,75.4214,13.6908,18.6957,94.3529
humid_lag_4,weather,74.975,13.6001,18.6957,94.6143
humid_lag_8,weather,74.6952,13.9262,18.6957,94.6286
rain_sum_4_8,weather,192.8188,214.9264,0.0,1631.69
rain_sum_8_12,weather,189.4973,217.2145,0.0,2185.18
rain_sum_0_3,weather,203.0468,224.0218,0.0,1658.96
rain_x_temp_4_8,weather,5399.9964,6120.2054,0.0,46584.7495
