feature,kind,mean,std,min,max
lag_0,endogenous,345.2746,1079.9303,0.0,10571.0
lag_1,endogenous,349.3122,1084.4494,0.0,10571.0
lag_2,endogenous,352.3552,1088.7809,0.0,10571.0
lag_3,endogenous,354.4474,1092.08,0.0,10571.0
lag_4,endogenous,355.6018,1093.6317,0.0,10571.0
lag_8,endogenous,351.5355,1089.5155,0.0,10571.0
roll_mean_4,endogenous,350.3473,1068.938,0.0,9712.5
roll_mean_8,endogenous,352.6231,1037.1709,0.0,9394.75
roll_max_4,endogenous,437.069,1251.8014,0.0,10571.0
roll_max_8,endogenous,539.4023,1406.15,0.0,10571.0
roll_std_4,endogenous,75.9223,210.2317,0.0,2998.6408
growth_1_4,endogenous,1.0337,0.4925,0.1176,3.6522
growth_4_8,endogenous,1.0162,0.4147,0.107,1.9757
peer_other_lag1,endogenous,349.3122,606.3203,0.0,2854.7143
log_population,endogenous,16.7068,0.5069,16.0238,17.6046
month,endogenous,6.3552,3.3902,1.0,12.0
woy_sin,endogenous,0.0825,0.6967,-1.0,1.0
woy_cos,endogenous,-0.0376,0.712,-1.0,1.0
eid_days,endogenous,0.1257,0.5539,0.0,3.0
ramadan_days,endogenous,0.6448,1.9339,0.0,7.0
holiday_days,endogenous,0.2514,0.6549,0.0,4.0
fog_days,endogenous,1.0656,2.4427,0.0,7.0
rain_lag_0,weather,54.7425,73.5841,0.0,549.95
rain_lag_2,weather,53.2888,72.7566,0.0,549.95
rain_lag_3,weather,53.4331,72.7959,0.0,549.95
rain_lag_4,weather,52.132,71.6816,0.0,549.95
rain_lag_5,weather,51.6277,71.6508,0.0,549.95
rain_lag_6,weather,51.2108,72.8356,0.0,549.95
rain_lag_8,weather,49.5931,71.0534,0.0,549.95
rain_lag_10,weather,49.6883,71.436,0.0,549.95
rain_lag_12,weather,49.1976,71.188,0.0,549.95
temp_lag_0,weather,25.6833,4.357,14.465,35.2853
temp_max_lag_0,weather,30.5168,3.9957,21.1273,43.7934
temp_lag_2,weather,25.6095,4.3357,14.465,35.2853
temp_lag_4,weather,25.5571,4.3645,14.465,35.2853
temp_max_lag_4,weather,30.4374,3.9965,21.1105,43.7934
temp_lag_6,weather,25.4738,4.4125,14.465,35.2853
temp_lag_8,weather,25.2978,4.4639,14.465,35.2853
humid_lag_0,weather,75.5315,13.2638,27.5304,93.3761
humid_lag_4,weather,75.0677,13.1657,27.5304,93.3761
humid_lag_8,weather,74.7653,13.5025,27.5304,93.6143
rain_sum_4_8,weather,202.6868,218.5988,0.0,1299.6425
rain_sum_8_12,weather,199.126,219.9744,0.0,1299.6425
rain_sum_0_3,weather,215.9049,231.2815,0.0,1433.6125
rain_x_temp_4_8,weather,5675.9858,6226.2958,0.0,36447.0814
