transfusion_rate,units_per_transfused_case,bags_per_admission,is_cited_corner,is_v1_central
0.097,3.0,0.291,True,False
0.097,4.0,0.388,False,False
0.097,5.0,0.485,False,False
0.097,6.0,0.582,True,False
0.15,3.0,0.45,False,False
0.15,4.0,0.6,False,False
0.15,5.0,0.75,False,False
0.15,6.0,0.9,False,False
0.22,3.0,0.66,False,False
0.22,4.0,0.88,False,True
0.22,5.0,1.1,False,False
0.22,6.0,1.32,False,False
0.3,3.0,0.9,False,False
0.3,4.0,1.2,False,False
0.3,5.0,1.5,False,False
0.3,6.0,1.8,False,False
0.35,3.0,1.05,False,False
0.35,4.0,1.4,False,False
0.35,5.0,1.75,False,False
0.35,6.0,2.1,False,False
0.426,3.0,1.278,True,False
0.426,4.0,1.704,False,False
0.426,5.0,2.13,False,False
0.426,6.0,2.556,True,False
