scenario,transfusion_rate,units_per_case,bags_per_admission,at_risk,fulfillment_path,demand_outlook,pressure_ratio,displayed_bags_upper
outbreak,0.097,3.0,0.291,True,scheduled_donor_mobilization,high,3.035,2623.66
outbreak,0.097,4.0,0.388,True,scheduled_donor_mobilization,high,3.035,3498.21
outbreak,0.097,6.0,0.582,True,scheduled_donor_mobilization,high,3.035,5247.31
outbreak,0.15,3.0,0.45,True,scheduled_donor_mobilization,high,3.035,4057.2
outbreak,0.15,4.0,0.6,True,scheduled_donor_mobilization,high,3.035,5409.6
outbreak,0.15,6.0,0.9,True,scheduled_donor_mobilization,high,3.035,8114.4
outbreak,0.22,3.0,0.66,True,scheduled_donor_mobilization,high,3.035,5950.56
outbreak,0.22,4.0,0.88,True,scheduled_donor_mobilization,high,3.035,7934.08
outbreak,0.22,6.0,1.32,True,scheduled_donor_mobilization,high,3.035,11901.12
outbreak,0.3,3.0,0.9,True,scheduled_donor_mobilization,high,3.035,8114.4
outbreak,0.3,4.0,1.2,True,scheduled_donor_mobilization,high,3.035,10819.2
outbreak,0.3,6.0,1.8,True,scheduled_donor_mobilization,high,3.035,16228.8
outbreak,0.35,3.0,1.05,True,scheduled_donor_mobilization,high,3.035,9466.8
outbreak,0.35,4.0,1.4,True,scheduled_donor_mobilization,high,3.035,12622.4
outbreak,0.35,6.0,2.1,True,scheduled_donor_mobilization,high,3.035,18933.6
outbreak,0.426,3.0,1.278,True,scheduled_donor_mobilization,high,3.035,11522.45
outbreak,0.426,4.0,1.704,True,scheduled_donor_mobilization,high,3.035,15363.26
outbreak,0.426,6.0,2.556,True,scheduled_donor_mobilization,high,3.035,23044.9
rising,0.097,3.0,0.291,False,scheduled_reservation,elevated,1.52,1314.16
rising,0.097,4.0,0.388,False,scheduled_reservation,elevated,1.52,1752.21
rising,0.097,6.0,0.582,False,scheduled_reservation,elevated,1.52,2628.31
rising,0.15,3.0,0.45,False,scheduled_reservation,elevated,1.52,2032.2
rising,0.15,4.0,0.6,False,scheduled_reservation,elevated,1.52,2709.6
rising,0.15,6.0,0.9,False,scheduled_reservation,elevated,1.52,4064.4
rising,0.22,3.0,0.66,False,scheduled_reservation,elevated,1.52,2980.56
rising,0.22,4.0,0.88,False,scheduled_reservation,elevated,1.52,3974.08
rising,0.22,6.0,1.32,False,scheduled_reservation,elevated,1.52,5961.12
rising,0.3,3.0,0.9,False,scheduled_reservation,elevated,1.52,4064.4
rising,0.3,4.0,1.2,False,scheduled_reservation,elevated,1.52,5419.2
rising,0.3,6.0,1.8,False,scheduled_reservation,elevated,1.52,8128.8
rising,0.35,3.0,1.05,False,scheduled_reservation,elevated,1.52,4741.8
rising,0.35,4.0,1.4,False,scheduled_reservation,elevated,1.52,6322.4
rising,0.35,6.0,2.1,False,scheduled_reservation,elevated,1.52,9483.6
rising,0.426,3.0,1.278,False,scheduled_reservation,elevated,1.52,5771.45
rising,0.426,4.0,1.704,False,scheduled_reservation,elevated,1.52,7695.26
rising,0.426,6.0,2.556,False,scheduled_reservation,elevated,1.52,11542.9
normal,0.097,3.0,0.291,False,scheduled_reservation,normal,0.746,644.86
normal,0.097,4.0,0.388,False,scheduled_reservation,normal,0.746,859.81
normal,0.097,6.0,0.582,False,scheduled_reservation,normal,0.746,1289.71
normal,0.15,3.0,0.45,False,scheduled_reservation,normal,0.746,997.2
normal,0.15,4.0,0.6,False,scheduled_reservation,normal,0.746,1329.6
normal,0.15,6.0,0.9,False,scheduled_reservation,normal,0.746,1994.4
normal,0.22,3.0,0.66,False,scheduled_reservation,normal,0.746,1462.56
normal,0.22,4.0,0.88,False,scheduled_reservation,normal,0.746,1950.08
normal,0.22,6.0,1.32,False,scheduled_reservation,normal,0.746,2925.12
normal,0.3,3.0,0.9,False,scheduled_reservation,normal,0.746,1994.4
normal,0.3,4.0,1.2,False,scheduled_reservation,normal,0.746,2659.2
normal,0.3,6.0,1.8,False,scheduled_reservation,normal,0.746,3988.8
normal,0.35,3.0,1.05,False,scheduled_reservation,normal,0.746,2326.8
normal,0.35,4.0,1.4,False,scheduled_reservation,normal,0.746,3102.4
normal,0.35,6.0,2.1,False,scheduled_reservation,normal,0.746,4653.6
normal,0.426,3.0,1.278,False,scheduled_reservation,normal,0.746,2832.05
normal,0.426,4.0,1.704,False,scheduled_reservation,normal,0.746,3776.06
normal,0.426,6.0,2.556,False,scheduled_reservation,normal,0.746,5664.1
