predictor,grain,horizon_weeks,unit,tier,level,n,mean_actual,measured_coverage,coverage_error,quotable
persistence,district,1,Bagerhat,low,0.5,125,15.8,0.52,0.02,True
persistence,district,1,Bagerhat,low,0.8,125,15.8,0.784,-0.016,True
persistence,district,1,Bagerhat,low,0.95,125,15.8,0.96,0.01,True
persistence,district,1,Bandarban,medium,0.5,125,11.54,0.4,-0.1,True
persistence,district,1,Bandarban,medium,0.8,125,11.54,0.824,0.024,True
persistence,district,1,Bandarban,medium,0.95,125,11.54,1.0,0.05,True
persistence,district,1,Barguna,medium,0.5,125,102.3,0.248,-0.252,True
persistence,district,1,Barguna,medium,0.8,125,102.3,0.56,-0.24,True
persistence,district,1,Barguna,medium,0.95,125,102.3,0.8,-0.15,True
persistence,district,1,Barishal,high,0.5,125,125.85,0.392,-0.108,True
persistence,district,1,Barishal,high,0.8,125,125.85,0.72,-0.08,True
persistence,district,1,Barishal,high,0.95,125,125.85,0.88,-0.07,True
persistence,district,1,Bhola,medium,0.5,125,37.83,0.424,-0.076,True
persistence,district,1,Bhola,medium,0.8,125,37.83,0.792,-0.008,True
persistence,district,1,Bhola,medium,0.95,125,37.83,0.928,-0.022,True
persistence,district,1,Bogura,low,0.5,125,19.05,0.528,0.028,True
persistence,district,1,Bogura,low,0.8,125,19.05,0.736,-0.064,True
persistence,district,1,Bogura,low,0.95,125,19.05,0.944,-0.006,True
persistence,district,1,Brahmanbaria,low,0.5,125,16.97,0.392,-0.108,True
persistence,district,1,Brahmanbaria,low,0.8,125,16.97,0.672,-0.128,True
persistence,district,1,Brahmanbaria,low,0.95,125,16.97,0.92,-0.03,True
persistence,district,1,Chandpur,medium,0.5,125,62.76,0.24,-0.26,True
persistence,district,1,Chandpur,medium,0.8,125,62.76,0.68,-0.12,True
persistence,district,1,Chandpur,medium,0.95,125,62.76,0.888,-0.062,True
persistence,district,1,Chapai Nawabganj,low,0.5,125,24.48,0.552,0.052,True
persistence,district,1,Chapai Nawabganj,low,0.8,125,24.48,0.696,-0.104,True
persistence,district,1,Chapai Nawabganj,low,0.95,125,24.48,0.904,-0.046,True
persistence,district,1,Chattogram,high,0.5,125,153.76,0.336,-0.164,True
persistence,district,1,Chattogram,high,0.8,125,153.76,0.648,-0.152,True
persistence,district,1,Chattogram,high,0.95,125,153.76,0.912,-0.038,True
persistence,district,1,Chuadanga,low,0.5,125,8.68,0.672,0.172,True
persistence,district,1,Chuadanga,low,0.8,125,8.68,0.824,0.024,True
persistence,district,1,Chuadanga,low,0.95,125,8.68,0.968,0.018,True
persistence,district,1,Cox's Bazar,high,0.5,125,61.3,0.448,-0.052,True
persistence,district,1,Cox's Bazar,high,0.8,125,61.3,0.824,0.024,True
persistence,district,1,Cox's Bazar,high,0.95,125,61.3,0.976,0.026,True
persistence,district,1,Cumilla,medium,0.5,125,64.1,0.256,-0.244,True
persistence,district,1,Cumilla,medium,0.8,125,64.1,0.648,-0.152,True
persistence,district,1,Cumilla,medium,0.95,125,64.1,0.88,-0.07,True
persistence,district,1,Dhaka,high,0.5,125,1230.93,0.08,-0.42,True
persistence,district,1,Dhaka,high,0.8,125,1230.93,0.36,-0.44,True
persistence,district,1,Dhaka,high,0.95,125,1230.93,0.552,-0.398,True
persistence,district,1,Dinajpur,low,0.5,125,8.57,0.6,0.1,True
persistence,district,1,Dinajpur,low,0.8,125,8.57,0.816,0.016,True
persistence,district,1,Dinajpur,low,0.95,125,8.57,0.968,0.018,True
persistence,district,1,Faridpur,medium,0.5,125,70.82,0.512,0.012,True
persistence,district,1,Faridpur,medium,0.8,125,70.82,0.656,-0.144,True
persistence,district,1,Faridpur,medium,0.95,125,70.82,0.784,-0.166,True
persistence,district,1,Feni,medium,0.5,125,21.72,0.488,-0.012,True
persistence,district,1,Feni,medium,0.8,125,21.72,0.808,0.008,True
persistence,district,1,Feni,medium,0.95,125,21.72,0.968,0.018,True
persistence,district,1,Gaibandha,low,0.5,125,9.87,0.56,0.06,True
persistence,district,1,Gaibandha,low,0.8,125,9.87,0.84,0.04,True
persistence,district,1,Gaibandha,low,0.95,125,9.87,0.976,0.026,True
persistence,district,1,Gazipur,medium,0.5,125,85.35,0.336,-0.164,True
persistence,district,1,Gazipur,medium,0.8,125,85.35,0.592,-0.208,True
