predictor,grain,horizon_weeks,unit,tier,level,n,mean_actual,measured_coverage,coverage_error,quotable
persistence,division,1,Barishal,medium,0.5,125,435.0,0.176,-0.324,True
persistence,division,1,Barishal,medium,0.8,125,435.0,0.648,-0.152,True
persistence,division,1,Barishal,medium,0.95,125,435.0,0.912,-0.038,True
persistence,division,1,Chattogram,high,0.5,125,489.63,0.424,-0.076,True
persistence,division,1,Chattogram,high,0.8,125,489.63,0.792,-0.008,True
persistence,division,1,Chattogram,high,0.95,125,489.63,0.968,0.018,True
persistence,division,1,Dhaka,high,0.5,125,1828.97,0.336,-0.164,True
persistence,division,1,Dhaka,high,0.8,125,1828.97,0.56,-0.24,True
persistence,division,1,Dhaka,high,0.95,125,1828.97,0.8,-0.15,True
persistence,division,1,Khulna,medium,0.5,125,347.0,0.416,-0.084,True
persistence,division,1,Khulna,medium,0.8,125,347.0,0.728,-0.072,True
persistence,division,1,Khulna,medium,0.95,125,347.0,0.936,-0.014,True
persistence,division,1,Mymensingh,low,0.5,125,82.38,0.384,-0.116,True
persistence,division,1,Mymensingh,low,0.8,125,82.38,0.768,-0.032,True
persistence,division,1,Mymensingh,low,0.95,125,82.38,0.904,-0.046,True
persistence,division,1,Rajshahi,medium,0.5,125,191.14,0.512,0.012,True
persistence,division,1,Rajshahi,medium,0.8,125,191.14,0.768,-0.032,True
persistence,division,1,Rajshahi,medium,0.95,125,191.14,0.984,0.034,True
persistence,division,1,Rangpur,low,0.5,125,53.87,0.536,0.036,True
persistence,division,1,Rangpur,low,0.8,125,53.87,0.808,0.008,True
persistence,division,1,Rangpur,low,0.95,125,53.87,0.952,0.002,True
persistence,division,1,Sylhet,low,0.5,125,14.67,0.632,0.132,True
persistence,division,1,Sylhet,low,0.8,125,14.67,0.928,0.128,True
persistence,division,1,Sylhet,low,0.95,125,14.67,1.0,0.05,True
persistence,division,2,Barishal,medium,0.5,124,438.34,0.2177,-0.2823,True
persistence,division,2,Barishal,medium,0.8,124,438.34,0.621,-0.179,True
