feature,horizon_weeks,spearman_r
rain_lag_0,1,0.1165
rain_lag_0,2,0.1828
rain_lag_0,4,0.3055
rain_lag_2,1,0.2481
rain_lag_2,2,0.3073
rain_lag_2,4,0.4028
rain_lag_3,1,0.3172
rain_lag_3,2,0.368
rain_lag_3,4,0.4433
rain_lag_4,1,0.3616
rain_lag_4,2,0.4054
rain_lag_4,4,0.4594
rain_lag_5,1,0.4044
rain_lag_5,2,0.4361
rain_lag_5,4,0.4745
rain_lag_6,1,0.4478
rain_lag_6,2,0.4696
rain_lag_6,4,0.4845
rain_lag_8,1,0.4968
rain_lag_8,2,0.5012
rain_lag_8,4,0.4868
rain_lag_10,1,0.5058
rain_lag_10,2,0.4956
rain_lag_10,4,0.4449
rain_lag_12,1,0.4733
rain_lag_12,2,0.4507
rain_lag_12,4,0.3845
temp_lag_0,1,-0.0788
temp_lag_0,2,-0.0101
temp_lag_0,4,0.1226
temp_max_lag_0,1,-0.2753
temp_max_lag_0,2,-0.2159
temp_max_lag_0,4,-0.0999
temp_lag_2,1,0.0698
temp_lag_2,2,0.1392
temp_lag_2,4,0.267
temp_lag_4,1,0.2218
temp_lag_4,2,0.2851
temp_lag_4,4,0.3857
temp_max_lag_4,1,-0.0027
temp_max_lag_4,2,0.0555
temp_max_lag_4,4,0.1616
temp_lag_6,1,0.3459
temp_lag_6,2,0.396
temp_lag_6,4,0.4726
temp_lag_8,1,0.4496
temp_lag_8,2,0.4844
temp_lag_8,4,0.5348
humid_lag_0,1,0.4577
humid_lag_0,2,0.4902
humid_lag_0,4,0.5358
humid_lag_4,1,0.559
humid_lag_4,2,0.5579
humid_lag_4,4,0.5215
humid_lag_8,1,0.5085
humid_lag_8,2,0.4753
humid_lag_8,4,0.3886
rain_sum_4_8,1,0.5464
rain_sum_4_8,2,0.5626
rain_sum_4_8,4,0.5542
rain_sum_8_12,1,0.5563
rain_sum_8_12,2,0.5355
rain_sum_8_12,4,0.47
rain_sum_0_3,1,0.2887
rain_sum_0_3,2,0.3535
rain_sum_0_3,4,0.4586
rain_x_temp_4_8,1,0.5484
rain_x_temp_4_8,2,0.5679
rain_x_temp_4_8,4,0.5641
