feature,horizon_weeks,spearman_r
rain_lag_0,1,0.1402
rain_lag_0,2,0.2033
rain_lag_0,4,0.3283
rain_lag_2,1,0.271
rain_lag_2,2,0.3337
rain_lag_2,4,0.4309
rain_lag_3,1,0.3442
rain_lag_3,2,0.3986
rain_lag_3,4,0.4699
rain_lag_4,1,0.392
rain_lag_4,2,0.4337
rain_lag_4,4,0.4807
rain_lag_5,1,0.4341
rain_lag_5,2,0.466
rain_lag_5,4,0.4984
rain_lag_6,1,0.4794
rain_lag_6,2,0.495
rain_lag_6,4,0.5123
rain_lag_8,1,0.5227
rain_lag_8,2,0.5289
rain_lag_8,4,0.5112
rain_lag_10,1,0.5317
rain_lag_10,2,0.5189
rain_lag_10,4,0.4684
rain_lag_12,1,0.4983
rain_lag_12,2,0.4743
rain_lag_12,4,0.4024
temp_lag_0,1,-0.0346
temp_lag_0,2,0.0425
temp_lag_0,4,0.1874
temp_max_lag_0,1,-0.2592
temp_max_lag_0,2,-0.19
temp_max_lag_0,4,-0.0598
temp_lag_2,1,0.1324
temp_lag_2,2,0.205
temp_lag_2,4,0.3401
temp_lag_4,1,0.2937
temp_lag_4,2,0.3597
temp_lag_4,4,0.4667
temp_max_lag_4,1,0.0547
temp_max_lag_4,2,0.1199
temp_max_lag_4,4,0.2424
temp_lag_6,1,0.4253
temp_lag_6,2,0.4782
temp_lag_6,4,0.5566
temp_lag_8,1,0.5335
temp_lag_8,2,0.5679
temp_lag_8,4,0.61
humid_lag_0,1,0.5293
humid_lag_0,2,0.555
humid_lag_0,4,0.5898
humid_lag_4,1,0.6066
humid_lag_4,2,0.5954
humid_lag_4,4,0.5445
humid_lag_8,1,0.5211
humid_lag_8,2,0.4828
humid_lag_8,4,0.389
rain_sum_4_8,1,0.5581
rain_sum_4_8,2,0.573
rain_sum_4_8,4,0.5632
rain_sum_8_12,1,0.5644
rain_sum_8_12,2,0.5446
rain_sum_8_12,4,0.4769
rain_sum_0_3,1,0.3001
rain_sum_0_3,2,0.3651
rain_sum_0_3,4,0.4681
rain_x_temp_4_8,1,0.5627
rain_x_temp_4_8,2,0.581
rain_x_temp_4_8,4,0.5761
